pdb_id,docking_case,bound_path,unbound_pro_path,unbound_rna_path,bound_pro_chain,unbound_pro_chain,bound_rna_chain,unbound_rna_chain,status
1R3E,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1R3E/1R3E.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1R3E/1ZE1.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1R3E/1EHZ.pdb,A,A,C,A,Success
2R8S,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2R8S/2R8S.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2R8S/2HFF.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2R8S/1HR2.pdb,LH,HL,R,A,Success
3SNP,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3SNP/3SNP.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3SNP/2B3Y.pdb,,A,A,C,A,Success
2OZB,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2OZB/2OZB.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2OZB/2JNB.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2OZB/2XEB.pdb,AB,A,C,A,Success
7P0V,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7P0V/7P0V.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7P0V/7P08.pdb,,A,A,B,C,Success
1JBS,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1JBS/1JBS.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1JBS/1AQZ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1JBS/1Q9A.pdb,A,A,C,A,Success
1WSU,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1WSU/1WSU.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1WSU/1LVA.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1WSU/2RLU.pdb,A,A,E,A,Success
1ZBH,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1ZBH/1ZBH.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1ZBH/1ZBU.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1ZBH/1JU7.pdb,AD,AD,E,A,Success
2BH2,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2BH2/2BH2.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2BH2/1UWV.pdb,,A,A,C,A,Success
1F7U,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1F7U/1F7U.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1F7U/1BS2.pdb,,A,A,B,,Success
1H3E,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1H3E/1H3E.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1H3E/1H3F.pdb,,AC,AB,B,,Success
1H4S,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1H4S/1H4S.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1H4S/1HC7.pdb,,AB,AB,T,,Success
1J1U,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1J1U/1J1U.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1J1U/1U7D.pdb,,AC,AB,B,,Success
1N78,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1N78/1N78.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1N78/1J09.pdb,,A,A,C,,Success
1QF6,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1QF6/1QF6.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1QF6/1EVL.pdb,,A,A,B,,Success
1SER,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1SER/1SER.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1SER/1SES.pdb,,AB,AB,T,,Success
1U0B,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1U0B/1U0B.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1U0B/1LI5.pdb,,B,B,A,,Success
1VFG,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1VFG/1VFG.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1VFG/4WBY.pdb,,B,A,D,,Success
2AZX,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2AZX/2AZX.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2AZX/1R6U.pdb,,AF,AB,C,,Success
2FK6,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2FK6/2FK6.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2FK6/1Y44.pdb,,A,A,R,,Success
3ADB,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3ADB/3ADB.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3ADB/3A4M.pdb,,A,A,C,,Success
3AMT,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3AMT/3AMT.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3AMT/3AU7.pdb,,A,A,B,,Success
4YCP,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4YCP/4YCP.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4YCP/4BFA.pdb,,A,A,B,,Success
4YVJ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4YVJ/4YVJ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4YVJ/3AXZ.pdb,,AB,AB,C,,Success
5HR7,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5HR7/5HR7.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5HR7/3RFA.pdb,,A,A,D,,Success
5B63,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5B63/5B63.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5B63/5YYM.pdb,,A,A,B,,Success
5T8Y,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5T8Y/5T8Y.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5T8Y/5D08.pdb,,B,A,X,,Success
5WT1,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5WT1/5WT1.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5WT1/5HJI.pdb,,A,A,C,,Success
5ZW4,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5ZW4/5ZW4.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5ZW4/5ZW3.pdb,,A,A,D,,Success
7E8O,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7E8O/7E8O.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7E8O/7E8K.pdb,,AB,AB,X,,Success
7K98,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7K98/7K98.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7K98/7DAW.pdb,,ABDE,ABCD,C,,Success
7MJW,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7MJW/7MJW.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7MJW/7MJZ.pdb,,A,A,M,,Success
8H1B,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8H1B/8H1B.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8H1B/8H1A.pdb,,A,A,C,,Success
8JOZ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8JOZ/8JOZ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8JOZ/4HTF.pdb,,A,A,B,,Success
1G1X,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1G1X/1G1X.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1G1X/1CQM.pdb,,ABC,A,DE,,Success
1SDS,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1SDS/1SDS.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1SDS/1XBI.pdb,,C,A,FG,,Success
2HW8,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2HW8/2HW8.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2HW8/1AD2.pdb,,A,A,B,,Success
5WTY,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5WTY/5WTY.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5WTY/5SVD.pdb,,A,B,C,,Success
1MSW,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1MSW/1MSW.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1MSW/1ARO.pdb,,D,P,R,,Success
1N35,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1N35/1N35.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1N35/1MUK.pdb,,A,A,B,,Success
1Q2R,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1Q2R/1Q2R.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1Q2R/1R5Y.pdb,,AB,AC,E,,Success
1WNE,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1WNE/1WNE.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1WNE/1U09.pdb,,A,A,BC,,Success
1YVP,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1YVP/1YVP.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1YVP/1YVR.pdb,,B,A,EFH,,Success
1ZBI,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1ZBI/1ZBI.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1ZBI/1ZBF.pdb,,A,A,CD,,Success
2AZ0,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2AZ0/2AZ0.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2AZ0/2B9Z.pdb,,AB,AB,CD,,Success
2BGG,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2BGG/2BGG.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2BGG/1W9H.pdb,,A,A,PQ,,Success
2EZ6,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2EZ6/2EZ6.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2EZ6/1JFZ.pdb,,AB,AB,CD,,Success
2F8S,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2F8S/2F8S.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2F8S/1YVU.pdb,,A,A,CD,,Success
2GJW,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2GJW/2GJW.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2GJW/1R0V.pdb,,AB,AB,EFH,,Success
2GXB,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2GXB/2GXB.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2GXB/1QGP.pdb,,A,A,EF,,Success
2QUX,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2QUX/2QUX.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2QUX/2QUD.pdb,,AB,AB,C,,Success
2Y8W,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2Y8W/2Y8W.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2Y8W/1WJ9.pdb,,A,A,B,,Success
2ZKO,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2ZKO/2ZKO.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2ZKO/2Z0A.pdb,,AB,AB,CD,,Success
3A6P,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3A6P/3A6P.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3A6P/5YU6.pdb,,AC,AB,DE,,Success
3BSN,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3BSN/3BSN.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3BSN/1SH3.pdb,,A,A,PT,,Success
3DD2,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3DD2/3DD2.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3DD2/1JOU.pdb,,H,D,B,,Success
3EQT,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3EQT/3EQT.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3EQT/2W4R.pdb,,AB,AB,CD,,Success
3FTE,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3FTE/3FTE.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3FTE/3FTD.pdb,,A,A,C,,Success
3KS8,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3KS8/3KS8.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3KS8/3KS4.pdb,,AB,AB,EF,,Success
3MOJ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3MOJ/3MOJ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3MOJ/2G0C.pdb,,B,A,A,,Success
3O3I,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3O3I/3O3I.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3O3I/2L5C.pdb,,X,A,A,,Success
3OIJ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3OIJ/3OIJ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3OIJ/3OII.pdb,,AB,AB,C,,Success
3OL6,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3OL6/3OL6.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3OL6/1RA6.pdb,,A,A,BCD,,Success
3RW6,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3RW6/3RW6.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3RW6/3RW7.pdb,,A,A,H,,Success
3ZC0,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3ZC0/3ZC0.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3ZC0/3ZC1.pdb,,ABCDEFGH,ABCDEFGH,MN,,Success
4ERD,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4ERD/4ERD.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4ERD/4EYT.pdb,,AB,AB,CD,,Success
4FVU,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4FVU/4FVU.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4FVU/3Q7C.pdb,,A,A,BC,,Success
4IG8,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4IG8/4IG8.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4IG8/1PX5.pdb,,A,A,BC,,Success
4ILL,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4ILL/4ILL.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4ILL/4ILR.pdb,,AB,AB,RC,,Success
4ZT0,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4ZT0/4ZT0.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/4ZT0/4CMP.pdb,,A,A,B,,Success
5ED1,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5ED1/5ED1.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5ED1/1ZY7.pdb,,A,A,BC,,Success
5F5H,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5F5H/5F5H.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5F5H/4QI0.pdb,,A,A,C,,Success
5WTK,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5WTK/5WTK.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5WTK/5WTJ.pdb,,A,A,B,,Success
5ZQ8,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5ZQ8/5ZQ8.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5ZQ8/5XJ1.pdb,,A,A,D,,Success
6D12,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6D12/6D12.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6D12/5KNW.pdb,,B,A,C,,Success
6DCB,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6DCB/6DCB.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6DCB/5UNA.pdb,,A,A,B,,Success
6FQ3,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6FQ3/6FQ3.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6FQ3/6FPT.pdb,,A,A,B,,Success
6SY4,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6SY4/6SY4.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6SY4/3ZQI.pdb,,AB,AB,C,,Success
6PZQ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6PZQ/6PZQ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6PZQ/6G0Y.pdb,,AB,AC,IJ,,Success
6RTI,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6RTI/6RTI.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6RTI/2C6C.pdb,,A,A,X,,Success
6ZDP,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6ZDP/6ZDP.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6ZDP/6ZD6.pdb,,A,A,B,,Success
7KFN,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7KFN/7KFN.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7KFN/1ZY7.pdb,,AD,AB,BC,,Success
7KKV,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7KKV/7KKV.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7KKV/7K9B.pdb,,A,A,B,,Success
7OG0,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7OG0/7OG0.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7OG0/8TV8.pdb,,A,A,EB,,Success
7OM6,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7OM6/7OM6.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7OM6/7OM2.pdb,,A,A,DF,,Success
7XD8,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7XD8/7XD8.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7XD8/6KR2.pdb,,A,A,BC,,Success
7XWZ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7XWZ/7XWZ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7XWZ/7VNU.pdb,,A,A,CD,,Success
7ZLQ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7ZLQ/7ZLQ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7ZLQ/2MDR.pdb,,A,A,DE,,Success
8AF0,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8AF0/8AF0.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/8AF0/5M9T.pdb,,AB,AB,CD,,Success
1AV6,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1AV6/1AV6.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1AV6/1B42.pdb,,A,A,B,,Success
1C9S,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1C9S/1C9S.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1C9S/2EXT.pdb,,L,A,W,,Success
1CVJ,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1CVJ/1CVJ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1CVJ/4F25.pdb,,A,A,M,,Success
1G2E,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1G2E/1G2E.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1G2E/4EGL.pdb,,A,A,B,,Success
1K8W,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1K8W/1K8W.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1K8W/1R3F.pdb,,A,A,B,,Success
1KQ2,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1KQ2/1KQ2.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1KQ2/1KQ1.pdb,,ABHIKM,ABHIKM,R,,Success
1M5O,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1M5O/1M5O.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1M5O/1OIA.pdb,,C,A,B,,Success
1M8V,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1M8V/1M8V.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1M8V/1H64.pdb,,AM,AM,O,,Success
1M8W,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1M8W/1M8W.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1M8W/1M8Z.pdb,,A,A,CE,,Success
1UVI,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1UVI/1UVI.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1UVI/1HHS.pdb,,A,A,D,,Success
1WPU,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1WPU/1WPU.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1WPU/1WPV.pdb,,A,A,C,,Success
2A8V,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2A8V/2A8V.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2A8V/1A8V.pdb,,B,B,E,,Success
2ASB,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2ASB/2ASB.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2ASB/1K0R.pdb,,A,A,B,,Success
2GIC,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2GIC/2GIC.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2GIC/2QVJ.pdb,,A,A,R,,Success
2IX1,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2IX1/2IX1.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2IX1/2IX0.pdb,,A,A,B,,Success
2JEA,UB,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2JEA/2JEA.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2JEA/2JE6.pdb,,AB,AB,C,,Success
